1741594144.658464166 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741594158.045689591 64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=495 ms
1741594158.159064227 64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=501 ms
1741594158.256598704 64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=499 ms
1741594158.346217883 64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=487 ms
1741594158.459376343 64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=499 ms
1741594158.524631473 64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=463 ms
1741594158.557171431 64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=388 ms
1741594158.573880796 64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=304 ms
1741594158.703743371 64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=334 ms
1741594158.886051363 64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=415 ms
1741594158.894541795 64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=323 ms
1741594158.919408091 64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=247 ms
1741594158.984736405 64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=212 ms
1741594159.049973975 64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=173 ms
1741594159.147371723 64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=170 ms
1741594159.220667870 64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=142 ms
1741594159.326046545 64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=148 ms
1741594159.423389668 64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=145 ms
1741594159.529060778 64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=150 ms
1741594159.626284488 64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=147 ms
1741594159.723735361 64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=144 ms
1741594159.837254071 64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=157 ms
1741594159.934709783 64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=155 ms
1741594160.040287285 64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=160 ms
1741594160.137853377 64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=157 ms
