1741592117.244148738 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741592128.575784307 64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=40.1 ms
1741592128.676047241 64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=40.1 ms
1741592128.776393714 64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=40.1 ms
1741592128.876475916 64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=40.2 ms
1741592128.976882111 64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=40.1 ms
1741592129.077250680 64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=40.2 ms
1741592129.177609968 64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=40.1 ms
1741592129.277830004 64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=40.1 ms
1741592129.378209841 64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=40.2 ms
1741592129.478476741 64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=40.1 ms
1741592129.588343190 64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=49.5 ms
1741592129.717992870 64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=78.5 ms
1741592129.863759289 64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=124 ms
1741592129.961243869 64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=120 ms
1741592130.082760651 64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=141 ms
1741592130.196445159 64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=154 ms
1741592130.414916077 64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=171 ms
1741592130.512626724 64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=167 ms
1741592130.609793989 64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=164 ms
1741592130.812408098 64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=166 ms
1741592130.871311737 64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=122 ms
1741592130.992837132 64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=143 ms
1741592131.106537645 64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=156 ms
1741592131.300666838 64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=149 ms
1741592131.495116671 64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=141 ms
1741592131.600617301 64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=144 ms
1741592131.689960800 64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=133 ms
1741592131.892407835 64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=134 ms
1741592131.998069023 64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=133 ms
1741592132.297179566 64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=128 ms
1741592132.402790424 64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=130 ms
1741592132.524416037 64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=151 ms
1741592132.847843078 64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=171 ms
1741592132.993679914 64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=112 ms
1741592133.261024002 64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=175 ms
1741592133.479402063 64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=190 ms
1741592133.673681435 64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=180 ms
1741592133.738855303 64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=142 ms
1741592133.828275477 64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=131 ms
1741592134.006284277 64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=109 ms
1741592134.208864337 64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=107 ms
1741592134.306421368 64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=101 ms
1741592134.411675095 64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=106 ms
1741592134.501145729 64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=92.2 ms
1741592134.606819536 64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=97.7 ms
1741592134.703985233 64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=95.0 ms
1741592134.801455006 64 bytes from 10.0.0.2: icmp_seq=174 ttl=64 time=93.5 ms
1741592134.906914287 64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=98.9 ms
