1741593998.518767987 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741594016.811420903 64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=325 ms
1741594016.917231381 64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=330 ms
1741594017.022691290 64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=335 ms
1741594017.120155488 64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=333 ms
1741594017.300053299 64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=412 ms
1741594017.397444060 64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=409 ms
1741594017.512746013 64 bytes from 10.0.0.2: icmp_seq=185 ttl=64 time=422 ms
1741594017.648776489 64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=459 ms
1741594017.802817200 64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=510 ms
1741594017.900225966 64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=507 ms
1741594017.997764561 64 bytes from 10.0.0.2: icmp_seq=189 ttl=64 time=504 ms
1741594018.111210159 64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=517 ms
1741594018.305545491 64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=611 ms
1741594018.410891183 64 bytes from 10.0.0.2: icmp_seq=192 ttl=64 time=614 ms
1741594018.508460077 64 bytes from 10.0.0.2: icmp_seq=193 ttl=64 time=610 ms
1741594018.605747586 64 bytes from 10.0.0.2: icmp_seq=194 ttl=64 time=598 ms
1741594018.711271776 64 bytes from 10.0.0.2: icmp_seq=195 ttl=64 time=602 ms
1741594018.937730416 64 bytes from 10.0.0.2: icmp_seq=197 ttl=64 time=622 ms
1741594019.010952887 64 bytes from 10.0.0.2: icmp_seq=198 ttl=64 time=590 ms
1741594019.100468690 64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=579 ms
1741594019.149458707 64 bytes from 10.0.0.2: icmp_seq=200 ttl=64 time=527 ms
1741594019.206532679 64 bytes from 10.0.0.2: icmp_seq=201 ttl=64 time=485 ms
1741594019.368615341 64 bytes from 10.0.0.2: icmp_seq=203 ttl=64 time=440 ms
1741594019.425514665 64 bytes from 10.0.0.2: icmp_seq=204 ttl=64 time=396 ms
1741594019.498641082 64 bytes from 10.0.0.2: icmp_seq=205 ttl=64 time=369 ms
1741594019.596075624 64 bytes from 10.0.0.2: icmp_seq=206 ttl=64 time=366 ms
1741594019.701539915 64 bytes from 10.0.0.2: icmp_seq=207 ttl=64 time=369 ms
